"respondent","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","attitude_Kopacz","hh_finances","future_finances","politics_interest","religious_participation","DATE","weight","married","ed_level","urban_rural","policies_improve_economic","know_FXborrower","province","past.turnout","employed","treat","income.quint","age","currentFXloan","pastFXloan","LeftRight","female","retired","in.labor.force","PiS2011","POPSL2011","vote.intent.rev","gi","ps","turnout.intent.ord","immigration.summary","antimigrant.summary"
"5903",144,3,2,2,4,4,NA,NA,2.5,1,2,4,4,2015-10-08,1.13173400082585,0,1,2,3,0,"Pomorskie",NA,1,"history",1,62,0,0,NA,1,1,0,NA,NA,"DK","some","90/10",1,NA,NA
"5904",145,2,2,2,3,4,3,3,3,3,3,4,2,2015-10-08,0.704988044911817,1,2,2,3,1,"Pomorskie",1,2,"Hungary",4,56,0,0,1,0,0,1,0,1,"NoVote","none","some",0,NA,NA
"5905",146,2,2,1,3,3,3,2,2.5,3,3,3,3,2015-10-08,0.543014721522279,1,2,2,3,0,"Kujawsko-pomorskie",1,2,"Hungary",5,64,0,0,3,1,0,1,1,0,"PiS","DK","DK",2,NA,NA
"5906",147,1,1,1,3,4,4,3,4,4,1,3,1,2015-10-08,0.66243356132898,0,3,2,4,0,"Kujawsko-pomorskie",1,1,"history",4,74,0,0,3,0,1,0,1,0,"PiS","some","90/10",2,NA,NA
"5907",148,1,1,NA,5,3,5,NA,1,5,3,3,5,2015-10-08,0.574260228162407,0,3,2,3,1,"Kujawsko-pomorskie",1,1,"Hungary",4,73,0,0,-3,1,1,0,0,1,"DK","none","DK",1,NA,NA
"5908",149,1,1,2,4,2,3,NA,2,5,3,3,3,2015-10-08,0.574260228162407,0,3,2,2,0,"Kujawsko-pomorskie",1,1,"Hungary",5,80,0,0,-1,1,1,0,0,1,"PO/PSL","big","50/50",2,NA,NA
"5909",151,9,6,2,4,3,3,3,4,4,3,3,4,2015-10-08,1.06323775050426,1,2,2,3,1,"Slaskie",1,1,"Hungary",1,48,0,0,NA,1,0,0,0,0,"DK","some","some",2,NA,NA
"5910",152,7,5,1,3,3,3,3,3,3,3,3,2,2015-10-08,0.550486554641191,1,2,1,2,0,"Podkarpackie",1,2,"info",5,56,0,1,1,0,0,1,1,0,"PiS","some","90/10",2,NA,NA
"5911",153,3,3,2,3,3,3,3,2.5,5,3,5,1,2015-10-08,0.598887963855451,0,2,1,4,0,"Podkarpackie",NA,1,"history",5,39,0,0,3,1,0,1,NA,NA,"PiS","none","some",2,NA,NA
"5912",154,4,3,2,4,3,NA,3,NA,3,3,4,2,2015-10-08,0.445977460654622,0,3,1,NA,1,"Podkarpackie",1,2,"Hungary",NA,57,0,0,NA,1,0,1,NA,NA,"DK","big","50/50",1,NA,NA
"5913",155,5,3,2,3,5,3,NA,2.5,4,2,5,3,2015-10-08,0.559687190579516,0,3,1,3,0,"Podkarpackie",0,1,"Hungary",1,41,0,0,NA,1,0,1,0,0,"DK","none","DK",1,NA,NA
"5914",156,4,4,2,4,3,2,2,4,4,3,4,2,2015-10-08,0.69953309462915,1,2,1,2,0,"Podkarpackie",NA,1,"history",3,59,0,0,3,0,0,0,NA,NA,"PiS","none","90/10",2,NA,NA
"5915",159,2,2,NA,3,3,2,3,3,4,3,2,4,2015-10-08,0.869418893004376,0,4,3,3,1,"Mazowieckie",1,2,"info",5,61,0,0,2,0,0,1,0,0,"other","none","some",2,NA,NA
"5916",162,1,1,NA,NA,NA,3,NA,NA,3,4,3,2,2015-10-08,0.919445959891745,0,4,3,NA,0,"Mazowieckie",NA,1,"Hungary",NA,73,0,0,NA,0,1,0,NA,NA,"DK","none","none",1,NA,NA
"5917",164,3,2,2,4,3,4,4,3,5,3,4,2,2015-10-08,1.52686217922142,1,4,3,3,0,"Mazowieckie",1,2,"info",NA,30,1,0,0,1,0,1,NA,NA,"other","some","some",2,NA,NA
"5918",166,4,2,2,3,4,3,3,4,3,3,4,4,2015-10-08,1.11219771864794,1,2,3,4,0,"Slaskie",0,2,"history",3,39,0,0,NA,0,0,1,0,0,"NoVote","some","some",0,NA,NA
"5919",169,3,2,2,4,2,4,3,4,3,3,4,3,2015-10-08,1.20937747155975,1,2,3,4,0,"Slaskie",1,2,"info",4,32,0,0,NA,1,0,1,1,0,"DK","some","some",1,NA,NA
"5920",170,3,2,2,NA,4,4,NA,4,3,4,3,3,2015-10-08,1.78543733176675,1,1,3,4,1,"Slaskie",1,1,"info",1,35,0,0,-1,1,0,0,0,0,"DK","some","50/50",1,NA,NA
"5921",174,3,3,2,3,3,3,3,2.5,4,3,3,2,2015-10-08,1.22648989963965,1,2,2,4,1,"Slaskie",NA,1,"history",5,53,0,0,0,0,1,0,NA,NA,"PiS","big","50/50",2,NA,NA
"5922",175,5,5,2,3,3,3,4,4,3,2,4,3,2015-10-08,1.07653450337841,1,1,2,1,0,"Slaskie",0,1,"info",3,62,0,0,-1,1,1,0,0,0,"PiS","some","DK",2,NA,NA
"5923",181,2,2,1,2,3,3,3,2,3,3,3,2,2015-10-08,0.730771563579266,0,4,3,3,0,"Malopolskie",0,1,"history",5,78,0,0,3,0,1,0,0,0,"DK","some","90/10",1,NA,NA
"5924",184,3,3,1,3,3,3,3,4,3,3,3,2,2015-10-08,0.76630009413114,1,2,2,4,0,"Malopolskie",1,2,"history",5,57,0,1,3,0,0,1,1,0,"PiS","big","50/50",2,NA,NA
"5925",185,1,1,2,3,4,NA,NA,3,1,3,3,2,2015-10-08,0.757348547399936,0,2,2,3,NA,"Malopolskie",1,1,"info",1,68,0,0,NA,0,0,0,0,1,"DK","DK","DK",1,NA,NA
"5926",186,2,2,2,3,3,NA,NA,2.5,5,3,4,5,2015-10-08,1.17213628737803,0,4,2,3,1,"Malopolskie",NA,2,"Hungary",5,31,0,0,-2,1,0,1,NA,NA,"PO/PSL","none","none",2,NA,NA
"5927",188,2,2,NA,NA,3,NA,NA,2,4,3,4,4,2015-10-08,0.937754567434888,1,3,3,NA,0,"Wielkopolskie",0,2,"info",5,52,1,0,-1,1,0,1,0,0,"PO/PSL","none","none",2,NA,NA
"5928",190,1,1,2,4,4,5,NA,2,4,3,4,5,2015-10-08,0.689047623865915,0,4,3,3,1,"Wielkopolskie",1,1,"Hungary",4,76,0,0,NA,1,1,0,NA,NA,"NoVote","DK","90/10",0,NA,NA
"5929",191,4,2,1,3,2,2,3,2.5,3,3,3,2,2015-10-08,0.815358657303597,0,2,1,2,0,"Wielkopolskie",1,2,"Hungary",NA,38,0,0,0,1,0,1,1,0,"PiS","big","50/50",2,NA,NA
"5930",192,4,3,NA,3,3,4,3,2.5,3,3,4,2,2015-10-08,0.896868326009696,1,2,1,NA,1,"Wielkopolskie",1,2,"info",NA,48,0,0,3,0,0,1,0,0,"PiS","none","none",2,NA,NA
"5931",194,5,4,2,4,4,NA,4,2.5,3,3,3,2,2015-10-08,0.533893867380759,0,3,1,4,0,"Wielkopolskie",NA,1,"Hungary",NA,65,0,0,0,1,0,0,NA,NA,"DK","some","DK",1,NA,NA
