"respondent","hh_size","adults_hh","country_direction","country_change","economic_situation","political_situation","economy_change","attitude_Kopacz","hh_finances","future_finances","politics_interest","religious_participation","DATE","weight","married","ed_level","urban_rural","policies_improve_economic","know_FXborrower","province","past.turnout","employed","treat","income.quint","age","currentFXloan","pastFXloan","LeftRight","female","retired","in.labor.force","PiS2011","POPSL2011","vote.intent.rev","gi","ps","turnout.intent.ord","immigration.summary","antimigrant.summary"
"6859",127,2,2,2,3,3,3,3,3,5,3,3,2,2015-10-15,0.689112467439968,1,2,2,3,0,"Podkarpackie",1,2,"Hungary",5,58,0,0,-2,0,0,1,0,0,"other","none","50/50",2,3.22222222222222,3.77777777777778
"6860",129,1,1,NA,NA,4,2,2,4,3,3,3,5,2015-10-15,0.559001351673394,0,2,2,4,0,"Podkarpackie",1,1,"cntrl",3,74,0,0,1,1,1,0,NA,NA,"DK","big","90/10",2,2.14285714285714,4.85714285714286
"6861",133,1,1,2,3,4,3,3,2.5,3,3,5,3,2015-10-15,0.791520781276154,0,3,3,NA,0,"Slaskie",0,1,"Hungary",3,78,0,0,NA,1,1,0,0,0,"NoVote","none","none",0,3.25,3.75
"6862",134,1,1,1,NA,1,3,3,2,5,3,1,5,2015-10-15,0.877245387105503,0,4,3,2,1,"Slaskie",1,1,"info",5,70,0,0,-2,0,1,0,0,0,"other","some","90/10",2,4.125,2.875
"6863",135,2,2,1,3,2,3,3,1,5,3,1,2,2015-10-15,0.877245387105503,1,4,3,1,0,"Slaskie",1,1,"cntrl",4,84,0,0,0,0,1,0,0,1,"PO/PSL","none","none",2,3.85714285714286,3.14285714285714
"6864",137,1,1,2,3,4,3,3,2.5,3,3,5,4,2015-10-15,0.906519135664107,0,2,3,4,0,"Slaskie",0,1,"info",3,67,0,0,NA,1,1,0,0,0,"NoVote","some","DK",0,1.66666666666667,5.33333333333333
"6865",138,1,1,2,3,3,3,3,NA,3,3,3,4,2015-10-15,0.878676340424127,0,4,3,NA,0,"Slaskie",NA,2,"Hungary",5,64,0,0,-2,1,1,0,NA,NA,"DK","none","none",1,3.77777777777778,3.22222222222222
"6866",143,1,1,2,3,4,2,2,2,3,3,4,2,2015-10-15,0.684322361837511,0,2,1,2,0,"Podkarpackie",0,1,"info",1,44,0,0,-1,0,0,1,0,0,"NoVote","none","50/50",0,1.88888888888889,5.11111111111111
"6867",144,2,2,NA,3,3,3,3,2.5,4,3,3,2,2015-10-15,0.713724970800448,0,2,1,2,1,"Podkarpackie",1,2,"history",3,51,0,0,1,0,0,1,1,0,"PiS","none","none",2,2.77777777777778,4.22222222222222
"6868",145,1,1,1,NA,4,2,3,4,2,3,4,2,2015-10-15,0.973538972678002,0,1,1,NA,0,"Podkarpackie",NA,1,"Hungary",2,74,0,0,2,1,1,0,NA,NA,"PiS","DK","50/50",2,2.2,4.8
"6869",146,1,1,NA,4,4,NA,4,2.5,1,3,5,5,2015-10-15,0.744378690277232,0,1,1,4,0,"Podkarpackie",0,1,"cntrl",1,65,0,0,NA,0,0,1,0,0,"NoVote","none","none",0,2,5
"6870",147,2,1,2,3,5,3,3,2,5,3,4,2,2015-10-15,0.60353409288695,1,3,1,2,0,"Podkarpackie",1,1,"Hungary",1,55,0,0,NA,1,0,0,0,1,"PO/PSL","DK","DK",2,3.125,3.875
"6871",148,4,3,NA,3,2,2,3,4,3,4,5,2,2015-10-15,1.26867401490101,1,2,1,3,0,"Podkarpackie",NA,2,"history",1,53,0,0,NA,0,0,1,NA,NA,"DK","some","50/50",2,2.71428571428571,4.28571428571429
"6872",152,1,1,2,NA,NA,NA,NA,2.5,3,3,5,3,2015-10-15,0.973538972678002,0,1,1,NA,0,"Podkarpackie",NA,1,"cntrl",3,78,0,0,NA,1,1,0,NA,NA,"DK","DK","DK",1,1.14285714285714,5.85714285714286
"6873",155,1,1,2,3,3,2,2,3,3,3,5,1,2015-10-15,0.674407880666398,0,4,2,NA,0,"Wielkopolskie",1,1,"history",NA,70,0,0,2,1,1,0,NA,NA,"DK","DK","DK",2,3,4
"6874",157,5,4,NA,3,2,3,3,2.5,3,3,3,5,2015-10-15,0.953449152477301,1,2,2,3,0,"Wielkopolskie",0,2,"Hungary",3,52,0,0,-2,0,0,1,0,0,"DK","none","some",1,2.57142857142857,4.42857142857143
"6875",159,4,4,2,4,4,4,4,4,5,3,3,1,2015-10-15,0.951787571842846,1,2,2,4,0,"Slaskie",1,2,"history",2,51,0,0,1,0,0,1,1,0,"PiS","big","50/50",2,2.25,4.75
"6876",160,4,4,1,NA,3,NA,NA,2,4,3,3,2,2015-10-15,0.732351566491676,1,2,2,1,0,"Slaskie",1,1,"info",5,61,0,0,3,0,0,0,0,1,"PO/PSL","none","none",2,5.22222222222222,1.77777777777778
"6877",162,4,4,2,5,5,NA,3,4,1,1,2,1,2015-10-15,0.720343738389621,1,2,1,4,0,"Podkarpackie",1,1,"Hungary",1,60,0,0,NA,0,1,0,1,0,"PiS","big","90/10",2,1.66666666666667,5.33333333333333
"6878",163,4,4,2,4,4,3,3,3,3,3,3,4,2015-10-15,0.633932339326358,0,2,1,3,0,"Podkarpackie",0,1,"history",4,20,0,0,3,0,0,1,0,0,"other","some","50/50",2,2.88888888888889,4.11111111111111
"6879",164,3,3,2,NA,4,NA,4,4,3,3,4,2,2015-10-15,0.973538972678002,1,1,1,4,0,"Podkarpackie",0,1,"info",1,74,0,0,3,1,1,0,0,0,"PiS","big","DK",2,1.8,5.2
"6880",165,2,2,1,2,2,2,2,2.5,4,3,3,2,2015-10-15,0.712121828402293,1,4,2,2,0,"Zachodniopomorskie",1,2,"Hungary",5,73,0,0,1,0,0,1,0,1,"other","some","some",2,4.66666666666667,2.33333333333333
"6881",166,4,2,1,3,3,4,3,2.5,3,3,4,3,2015-10-15,1.14459820737219,1,4,2,3,1,"Mazowieckie",NA,2,"history",5,37,0,0,0,1,0,1,NA,NA,"DK","none","none",2,3.77777777777778,3.22222222222222
"6882",174,2,2,1,2,2,3,NA,2.5,3,3,5,1,2015-10-15,1.13090962795657,1,1,1,2,0,"Zachodniopomorskie",1,1,"history",4,77,0,0,0,1,1,0,NA,NA,"PiS","DK","some",2,3.875,3.125
"6883",176,2,2,1,3,3,3,3,2,4,3,3,4,2015-10-15,0.699952433990044,1,3,1,3,0,"Zachodniopomorskie",0,1,"history",5,69,0,0,1,0,1,0,0,0,"DK","none","none",1,3.25,3.75
"6884",177,2,2,1,3,3,3,3,2,3,3,3,3,2015-10-15,1.67909456817639,0,1,1,2,0,"Zachodniopomorskie",0,2,"history",2,56,0,0,NA,1,0,1,0,0,"PO/PSL","none","DK",2,2.625,4.375
"6885",183,2,2,1,4,2,4,3,2,4,3,2,5,2015-10-15,1.01027754881306,1,4,3,2,0,"Mazowieckie",1,1,"cntrl",5,72,0,0,-1,0,1,0,0,1,"PO/PSL","some","50/50",2,4.33333333333333,2.66666666666667
"6886",192,2,2,2,2,NA,NA,NA,2.5,2,3,5,4,2015-10-15,1.06212294112906,0,2,3,NA,1,"Mazowieckie",1,2,"cntrl",NA,56,0,0,NA,1,0,1,1,0,"DK","some","some",2,2.44444444444444,4.55555555555556
"6887",193,2,2,1,3,2,4,4,2,5,3,1,3,2015-10-15,0.98466328334647,1,4,3,2,1,"Mazowieckie",1,2,"Hungary",5,68,0,0,-2,0,0,1,0,0,"other","none","some",2,4.11111111111111,2.88888888888889
"6888",194,2,2,2,NA,3,2,2,2.5,3,3,2,2,2015-10-15,0.986269455591708,1,4,3,4,1,"Mazowieckie",1,2,"history",5,60,0,0,1,1,0,1,1,0,"PiS","big","90/10",2,2.125,4.875
"6889",200,1,1,2,4,3,4,4,2,4,3,3,4,2015-10-15,0.765326298490097,0,3,3,3,1,"Wielkopolskie",1,2,"info",NA,68,0,0,-3,0,1,0,0,1,"other","none","90/10",2,1.55555555555556,5.44444444444444
"6890",202,4,2,1,NA,2,5,3,2,4,3,3,2,2015-10-15,1.10795741725224,1,4,3,2,1,"Wielkopolskie",1,2,"Hungary",NA,31,0,0,0,0,0,1,0,1,"PO/PSL","none","some",2,4.11111111111111,2.88888888888889
"6891",204,2,2,2,3,4,3,NA,3,3,3,3,4,2015-10-15,1.00352878866421,1,2,3,3,1,"Malopolskie",0,1,"Hungary",3,55,0,0,0,0,0,0,0,0,"other","none","50/50",2,2.66666666666667,4.33333333333333
"6892",205,2,2,1,2,3,2,2,4,5,4,5,3,2015-10-15,1.62179264686427,0,1,3,4,0,"Malopolskie",0,2,"info",5,20,0,0,NA,0,0,1,0,0,"DK","big","50/50",1,4.11111111111111,2.88888888888889
"6893",206,4,2,2,4,2,4,4,1,3,4,1,4,2015-10-15,1.08866820129912,1,3,3,1,0,"Malopolskie",1,1,"info",3,35,0,0,1,1,0,0,0,1,"PO/PSL","none","50/50",2,4.75,2.25
"6894",207,1,1,2,NA,4,4,2,1,1,3,5,5,2015-10-15,0.96138794741531,0,2,3,2,0,"Malopolskie",0,1,"cntrl",1,65,0,0,NA,0,0,0,0,0,"NoVote","none","none",0,3.8,3.2
"6895",208,1,1,2,NA,5,NA,NA,4,1,2,5,5,2015-10-15,1.41571083147206,0,1,3,4,0,"Malopolskie",0,1,"cntrl",0,57,0,0,NA,1,0,0,0,0,"NoVote",NA,NA,0,3,4
"6896",210,2,1,1,2,2,2,2,2,4,4,4,4,2015-10-15,1.05853192709416,0,2,3,1,0,"Malopolskie",NA,2,"history",1,24,0,0,0,1,0,1,NA,NA,"NoVote","some","90/10",0,5.55555555555556,1.44444444444444
"6897",211,8,2,2,3,3,3,3,1,5,2,5,4,2015-10-15,1.83306655845103,0,1,3,NA,0,"Malopolskie",1,1,"cntrl",1,43,0,0,NA,1,0,0,NA,NA,"DK","some","50/50",1,2.55555555555556,4.44444444444444
"6898",213,2,2,2,5,3,4,4,3,5,3,3,5,2015-10-15,0.969432061181773,0,2,3,4,1,"Mazowieckie",1,1,"info",4,78,0,0,-2,1,1,0,0,0,"other","none","none",2,4,3
"6899",215,3,3,2,1,3,1,3,4,4,3,2,4,2015-10-15,1.46257159318736,1,4,3,4,1,"Mazowieckie",1,2,"info",3,29,0,0,1,0,0,1,0,0,"other","none","none",2,4.33333333333333,2.66666666666667
"6900",217,2,2,2,2,4,2,2,4,5,3,2,1,2015-10-15,1.18325674342364,1,1,2,3,0,"Slaskie",1,1,"history",5,61,0,0,2,1,1,0,1,0,"PiS","some","90/10",2,2.66666666666667,4.33333333333333
"6901",218,2,2,1,3,2,3,3,2,4,3,3,2,2015-10-15,0.732351566491676,1,2,2,2,1,"Slaskie",1,1,"info",5,57,0,0,0,0,1,0,0,1,"PO/PSL","none","none",2,4.125,2.875
"6902",219,3,2,1,2,2,2,2,4,5,3,2,2,2015-10-15,0.869030238524246,1,2,2,4,0,"Slaskie",1,2,"info",NA,37,0,0,3,0,0,1,1,0,"PiS","some","50/50",2,4,3
"6903",220,2,1,2,3,4,3,3,2,3,3,2,2,2015-10-15,0.886843553402965,0,4,2,3,0,"Slaskie",1,2,"Hungary",2,41,0,1,-3,1,0,1,0,0,"other","none","none",2,3,4
"6904",229,2,2,NA,NA,3,NA,NA,2,3,3,3,2,2015-10-15,1.23839824941271,0,4,2,2,NA,"Malopolskie",1,2,"Hungary",NA,52,0,0,NA,1,0,1,0,1,"PO/PSL","none","none",2,1.125,5.875
"6905",230,6,4,1,NA,2,NA,NA,1,5,4,3,2,2015-10-15,0.683318863041654,1,4,1,2,0,"Zachodniopomorskie",1,2,"Hungary",3,57,0,0,3,1,0,1,0,1,"PO/PSL","some","90/10",2,2.5,4.5
"6906",231,5,5,1,3,2,3,2,3,4,4,2,4,2015-10-15,1.47881555759453,0,3,1,3,0,"Zachodniopomorskie",1,2,"info",5,30,0,0,0,0,0,1,0,1,"PiS","some","50/50",2,4.44444444444444,2.55555555555556
"6907",234,4,2,2,4,2,4,3,3,4,3,3,3,2015-10-15,1.07196896589419,1,2,1,4,1,"Pomorskie",1,2,"Hungary",2,29,0,0,0,1,0,1,0,0,"other","some","DK",2,2.875,4.125
"6908",235,3,3,2,4,2,4,4,2,3,2,2,2,2015-10-15,0.820662429854105,1,2,1,2,1,"Pomorskie",1,1,"cntrl",3,65,0,0,0,0,0,0,0,1,"DK","none","none",1,2.33333333333333,4.66666666666667
"6909",236,3,3,2,5,5,5,5,4,3,1,2,2,2015-10-15,0.899128911218592,1,2,1,4,0,"Pomorskie",1,2,"Hungary",1,55,0,0,-1,0,0,1,NA,NA,"PiS","none","none",2,2.88888888888889,4.11111111111111
"6910",237,6,3,2,NA,5,3,3,2.5,3,1,3,2,2015-10-15,0.981110523669741,1,2,2,4,1,"Pomorskie",1,1,"Hungary",2,66,0,0,3,0,1,0,1,0,"PiS","none","some",2,2.625,4.375
"6911",238,4,4,2,1,5,1,1,4,4,3,2,1,2015-10-15,0.578190092112939,1,3,1,4,0,"Podkarpackie",1,1,"cntrl",4,66,0,0,3,1,1,0,1,0,"PiS","some","50/50",2,2.33333333333333,4.66666666666667
"6912",239,4,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,2015-10-15,0.761644884683409,1,4,1,NA,NA,"Podkarpackie",NA,2,"info",NA,38,NA,NA,NA,1,0,1,NA,NA,"other",NA,NA,2,2.75,4.25
"6913",240,1,1,1,2,4,2,3,4,1,3,2,4,2015-10-15,1.024603601516,0,2,1,4,1,"Podkarpackie",1,2,"history",NA,60,0,0,2,0,0,1,1,0,"PiS","some","50/50",2,2.77777777777778,4.22222222222222
"6914",241,5,3,2,3,3,3,3,4,4,3,4,2,2015-10-15,0.723915145768073,0,4,1,4,0,"Podkarpackie",1,1,"info",1,24,0,0,0,1,0,1,NA,NA,"NoVote","none","none",0,3.77777777777778,3.22222222222222
"6915",242,5,4,NA,NA,NA,NA,NA,NA,5,2,5,2,2015-10-15,1.15316184642731,0,1,1,NA,0,"Podkarpackie",NA,2,"cntrl",1,48,0,0,NA,1,0,1,NA,NA,"DK","DK","some",1,3,4
"6916",243,3,2,1,3,2,3,3,2,4,3,2,3,2015-10-15,0.793735588057558,1,4,1,2,1,"Podkarpackie",1,2,"info",4,35,0,0,1,0,0,1,0,1,"PO/PSL","none","none",2,4,3
"6917",244,3,2,2,3,4,3,NA,3,3,3,4,2,2015-10-15,0.820228683231521,1,2,1,3,1,"Podkarpackie",NA,2,"info",5,30,0,0,1,0,0,1,NA,NA,"PiS","some","some",2,2.88888888888889,4.11111111111111
"6918",245,1,1,2,3,2,3,3,3,1,3,3,2,2015-10-15,1.03522216820754,0,2,1,3,0,"Dolnoslaskie",1,1,"info",3,61,0,0,1,1,1,0,0,1,"PiS","some","some",2,2.22222222222222,4.77777777777778
"6919",246,2,2,NA,3,3,3,3,3,3,4,3,4,2015-10-15,1.03547515088958,0,2,1,3,0,"Dolnoslaskie",0,2,"Hungary",4,22,0,0,0,0,0,1,0,0,"PiS","some","50/50",2,3.66666666666667,3.33333333333333
"6920",247,4,3,NA,2,3,2,2,2.5,4,3,2,4,2015-10-15,0.865939890735743,0,2,1,NA,0,"Dolnoslaskie",1,1,"history",NA,83,0,0,0,1,1,0,0,0,"NoVote","DK","90/10",0,2.5,4.5
"6921",248,6,2,2,3,4,3,3,4,3,3,3,4,2015-10-15,1.3404087154827,0,2,1,3,0,"Dolnoslaskie",1,1,"info",1,39,0,0,NA,1,0,0,NA,NA,"PiS","some","DK",2,1.11111111111111,5.88888888888889
"6922",249,2,2,1,3,3,2,3,2.5,3,1,5,4,2015-10-15,0.761354624509579,1,2,2,3,0,"Swietokrzyskie",NA,1,"Hungary",3,64,0,0,3,1,1,0,NA,NA,"PO/PSL","big","90/10",2,2,5
"6923",250,2,2,2,4,4,NA,3,3,3,3,3,4,2015-10-15,0.697747973537168,0,2,2,3,0,"Swietokrzyskie",1,2,"history",5,60,1,0,0,1,0,1,NA,NA,"PiS","some","some",2,2.875,4.125
"6924",252,3,3,NA,4,5,5,5,2.5,3,3,4,5,2015-10-15,0.942716604558932,1,2,2,4,0,"Swietokrzyskie",0,1,"cntrl",1,50,0,0,0,1,0,0,0,0,"NoVote","none","90/10",0,2.28571428571429,4.71428571428571
"6925",255,2,2,2,3,4,3,3,2,1,3,3,2,2015-10-15,1.17484691386383,1,1,2,3,1,"Swietokrzyskie",1,2,"history",1,60,0,0,-3,1,0,1,0,1,"DK","none","50/50",1,1.11111111111111,5.88888888888889
"6926",257,2,1,NA,3,3,3,3,2,2,4,3,5,2015-10-15,0.893862288124496,0,4,3,3,0,"Lódzkie",1,2,"cntrl",2,28,0,0,0,1,0,1,0,1,"other","big","none",2,2,5
"6927",261,2,2,2,3,4,3,3,3,1,3,4,3,2015-10-15,1.23144154769943,1,1,3,3,0,"Lódzkie",0,2,"Hungary",NA,50,0,0,0,1,0,1,0,0,"PiS","none","50/50",2,2.125,4.875
"6928",265,2,2,1,2,2,3,3,1,4,3,3,2,2015-10-15,1.00800805737338,1,2,3,2,0,"Malopolskie",1,1,"cntrl",NA,63,0,0,0,1,1,0,0,1,"PO/PSL","none","some",2,3.66666666666667,3.33333333333333
"6929",266,2,2,2,3,3,4,3,3,4,2,1,5,2015-10-15,0.93449494872775,0,4,3,3,1,"Malopolskie",1,1,"Hungary",NA,70,0,0,-3,0,1,0,0,0,"other","none","none",2,4.11111111111111,2.88888888888889
"6930",267,3,3,2,3,3,4,3,3,1,3,1,4,2015-10-15,1.00800805737338,1,2,3,4,0,"Malopolskie",1,1,"Hungary",2,64,0,0,-3,1,1,0,0,0,"other","none","some",2,4.375,2.625
"6931",268,2,2,1,5,3,5,5,2,5,3,3,4,2015-10-15,0.839196858856819,1,4,3,2,0,"Slaskie",1,2,"info",5,59,0,0,-1,0,0,1,0,1,"PO/PSL","none","some",2,5.125,1.875
"6932",269,2,2,2,3,4,2,3,4,3,3,3,NA,2015-10-15,0.878676340424127,1,4,3,4,0,"Slaskie",0,1,"info",NA,61,0,0,1,1,1,0,0,0,"PiS","none","some",2,2.16666666666667,4.83333333333333
"6933",271,4,2,1,3,2,5,3,1,4,3,3,4,2015-10-15,1.03910160636066,1,4,3,2,1,"Slaskie",1,2,"Hungary",4,54,0,0,0,0,0,1,0,1,"PO/PSL","none","none",2,4.11111111111111,2.88888888888889
"6934",272,2,2,NA,3,3,3,2,2,5,3,3,1,2015-10-15,1.1716618929533,1,2,3,1,1,"Slaskie",0,1,"cntrl",5,53,0,0,0,1,0,0,0,0,"DK","some","50/50",1,3.77777777777778,3.22222222222222
"6935",273,1,1,1,2,3,NA,NA,4,5,3,3,4,2015-10-15,0.771452807442871,1,4,3,4,0,"Slaskie",1,2,"Hungary",5,65,0,0,2,1,0,1,1,0,"PiS","none","none",2,3.42857142857143,3.57142857142857
"6936",275,4,3,NA,2,3,3,3,2,5,4,4,5,2015-10-15,1.26490444750195,0,3,3,NA,0,"Mazowieckie",0,1,"info",NA,21,0,0,-1,0,0,1,0,0,"DK","some","90/10",1,5.33333333333333,1.66666666666667
"6937",279,5,2,NA,2,3,2,3,3,3,3,4,2,2015-10-15,1.53137734197527,1,4,3,3,1,"Mazowieckie",1,1,"history",3,32,0,0,2,1,0,0,1,0,"PiS","DK","DK",2,2.6,4.4
"6938",281,1,1,NA,3,3,3,4,2,2,3,3,3,2015-10-15,1.02362032848835,0,2,2,3,0,"Wielkopolskie",1,1,"history",3,59,0,0,-1,1,0,0,0,1,"PO/PSL","some","DK",2,3.875,3.125
"6939",282,5,4,1,2,2,2,3,2.5,3,3,2,4,2015-10-15,0.85360935264222,1,2,2,3,1,"Wielkopolskie",1,2,"info",3,60,0,0,2,0,0,1,0,1,"NoVote","none","some",0,2.5,4.5
"6940",283,6,4,1,3,3,3,2,4,3,4,4,5,2015-10-15,1.2146674462765,0,2,2,3,0,"Wielkopolskie",0,2,"Hungary",4,27,0,0,-1,0,0,1,0,0,"other","some","some",2,3.88888888888889,3.11111111111111
"6941",288,2,2,2,4,5,4,4,2.5,1,3,5,4,2015-10-16,1.14101575331756,1,1,2,4,0,"Lubelskie",NA,1,"Hungary",2,65,0,0,NA,0,0,0,NA,NA,"DK","DK","DK",2,3.125,3.875
"6942",290,5,4,2,NA,2,2,3,2.5,5,3,4,3,2015-10-16,0.94648613511475,0,3,3,3,1,"Slaskie",1,2,"info",NA,19,0,0,NA,0,0,1,NA,NA,"other","some","some",2,3.33333333333333,3.66666666666667
"6943",291,5,5,NA,4,4,3,3,2,3,3,5,4,2015-10-16,1.33273872860893,0,1,3,2,0,"Slaskie",NA,1,"history",NA,77,0,0,NA,1,1,0,NA,NA,"DK","some","some",1,3.625,3.375
"6944",292,3,3,NA,4,2,4,3,3,5,3,4,4,2015-10-16,1.1701640061739,1,2,3,3,1,"Slaskie",1,2,"info",5,43,0,0,-2,0,0,1,0,0,"DK","none","none",1,3.71428571428571,3.28571428571429
"6945",293,1,1,1,3,3,3,3,2,3,3,3,5,2015-10-15,0.984299244589434,0,4,3,2,1,"Dolnoslaskie",1,1,"Hungary",4,74,0,0,0,1,1,0,0,1,"PO/PSL","some","50/50",2,3.625,3.375
"6946",296,2,2,NA,3,2,5,3,2,5,3,3,5,2015-10-16,1.02782436022359,1,4,3,2,0,"Mazowieckie",1,2,"Hungary",5,57,0,0,-1,0,0,1,0,1,"PO/PSL","big","some",2,4.55555555555556,2.44444444444444
"6947",298,1,1,2,2,5,1,1,4,4,4,2,1,2015-10-16,0.969432061181773,0,2,3,4,0,"Mazowieckie",1,1,"info",5,67,0,0,3,1,1,0,1,0,"PiS","big","some",2,3.11111111111111,3.88888888888889
"6948",300,4,2,1,NA,2,4,3,2.5,4,3,3,4,2015-10-15,1.05843837715495,1,4,3,2,1,"Wielkopolskie",1,2,"cntrl",NA,33,0,0,NA,0,0,1,0,1,"PO/PSL","none","none",2,4.55555555555556,2.44444444444444
"6949",304,4,3,2,3,3,4,3,2,3,3,3,4,2015-10-15,0.878380812793483,0,2,3,2,0,"Wielkopolskie",0,1,"Hungary",2,21,0,0,0,1,0,1,0,0,"PO/PSL","some","some",2,2.625,4.375
"6950",306,2,2,2,2,4,2,2,4,3,2,2,2,2015-10-16,0.932833119723818,0,3,3,4,0,"Pomorskie",1,1,"info",4,67,0,0,2,0,1,0,1,0,"PiS","some","DK",2,4.625,2.375
"6951",307,2,2,1,2,3,1,2,4,5,3,3,4,2015-10-16,1.07010514169015,1,2,3,4,1,"Pomorskie",1,1,"Hungary",5,61,0,0,2,1,1,0,0,1,"PiS","some","some",2,2.22222222222222,4.77777777777778
"6952",308,1,1,NA,3,NA,NA,NA,2,4,3,3,2,2015-10-16,0.89511870777979,0,3,3,NA,0,"Pomorskie",NA,1,"info",3,75,0,0,NA,1,0,0,NA,NA,"DK","some","DK",1,4.25,2.75
"6953",309,5,3,1,3,3,NA,3,3,3,3,3,3,2015-10-16,0.833976220715765,1,2,1,3,1,"Wielkopolskie",1,2,"history",NA,41,0,0,1,0,0,1,1,0,"other","some","some",2,2.33333333333333,4.66666666666667
"6954",310,8,4,1,3,2,3,3,4,4,3,3,2,2015-10-16,0.833976220715765,1,2,1,3,1,"Wielkopolskie",NA,2,"Hungary",1,38,0,0,0,0,0,1,NA,NA,"PiS","none","none",2,1.66666666666667,5.33333333333333
"6955",311,2,2,1,3,2,4,3,2,2,2,3,3,2015-10-16,0.526220528202092,1,4,1,3,1,"Wielkopolskie",1,1,"Hungary",3,59,0,0,-1,1,0,1,0,1,"NoVote","none","none",0,3.88888888888889,3.11111111111111
"6956",312,2,2,2,4,2,3,3,3,1,3,2,4,2015-10-16,0.873210100687829,1,2,1,3,0,"Wielkopolskie",1,1,"Hungary",NA,43,0,0,-2,1,0,0,0,1,"DK","none","none",1,3.66666666666667,3.33333333333333
"6957",316,1,1,2,NA,5,NA,2,4,3,3,3,4,2015-10-16,1.12160758157433,0,2,2,3,1,"Mazowieckie",0,2,"info",5,40,0,0,3,0,0,1,0,0,"PiS","none","none",2,1.75,5.25
"6958",320,4,2,2,4,3,3,3,3,3,3,3,2,2015-10-16,1.44388660718103,0,1,3,4,0,"Podkarpackie",0,1,"history",1,19,0,0,0,0,0,1,0,0,"other","some","50/50",2,3.22222222222222,3.77777777777778
"6959",321,2,2,2,3,4,3,3,3,3,3,4,3,2015-10-16,0.95145112254645,0,4,3,3,1,"Podkarpackie",0,2,"info",3,33,0,0,0,1,0,1,0,0,"other","none","none",2,3.42857142857143,3.57142857142857
"6960",322,2,2,2,3,3,4,4,4,3,3,2,1,2015-10-16,0.973538972678002,0,1,1,3,0,"Podkarpackie",0,1,"cntrl",3,69,0,0,1,1,0,0,0,0,"PiS","some","90/10",2,2.22222222222222,4.77777777777778
"6961",324,4,2,2,3,4,3,3,4,3,3,5,2,2015-10-16,0.858815819061281,1,2,1,NA,1,"Podkarpackie",0,1,"history",1,34,0,0,-1,1,0,0,0,0,"NoVote","DK","some",0,4.125,2.875
"6962",325,2,2,2,3,5,2,3,4,5,3,3,3,2015-10-16,0.9314243148055,1,2,2,4,0,"Wielkopolskie",1,1,"Hungary",NA,63,0,0,1,0,0,0,0,1,"DK","none","90/10",1,2,5
"6963",326,5,2,NA,2,3,3,3,2.5,2,3,3,2,2015-10-16,0.858815819061281,1,2,1,2,0,"Podkarpackie",NA,1,"history",1,28,0,0,0,1,0,0,NA,NA,"PiS","some","DK",2,1.33333333333333,5.66666666666667
"6964",327,5,3,2,3,4,4,4,2.5,3,3,5,1,2015-10-16,0.573353877993267,1,2,1,NA,1,"Podkarpackie",1,1,"info",1,35,0,0,NA,1,0,1,0,1,"NoVote","some","DK",0,2.11111111111111,4.88888888888889
"6965",329,4,4,1,2,3,3,2,2,4,3,3,2,2015-10-16,0.684991900645821,1,4,1,2,0,"Wielkopolskie",1,2,"history",4,62,0,1,1,0,0,1,0,1,"PiS","none","50/50",2,5.11111111111111,1.88888888888889
"6966",330,2,2,2,2,2,2,2,2,4,3,3,4,2015-10-16,0.737674281646527,1,2,1,3,1,"Wielkopolskie",1,2,"info",5,60,0,0,1,0,0,1,1,0,"PiS","big","50/50",2,2.25,4.75
"6967",331,1,1,2,NA,2,NA,NA,2,5,3,3,2,2015-10-16,0.665306098409776,0,4,3,1,0,"Swietokrzyskie",1,1,"history",5,69,0,0,0,1,1,0,0,1,"PO/PSL","none","50/50",2,4,3
"6968",332,3,2,2,2,3,2,2,2,5,4,3,3,2015-10-16,0.85158311141819,0,2,3,2,0,"Swietokrzyskie",1,2,"Hungary",2,25,0,0,1,1,0,1,0,1,"PO/PSL","some","50/50",2,1.44444444444444,5.55555555555556
"6969",333,2,2,2,4,4,3,3,4,3,3,3,1,2015-10-16,0.69333771929561,1,4,3,4,0,"Swietokrzyskie",1,1,"info",NA,79,0,0,3,0,1,0,1,0,"PiS","none","none",2,1.5,5.5
"6970",334,1,1,1,3,2,2,2,2,4,3,3,2,2015-10-16,0.636449955930772,0,4,3,2,1,"Swietokrzyskie",1,2,"cntrl",5,55,0,0,2,1,0,1,0,1,"PiS","some","50/50",2,4.33333333333333,2.66666666666667
"6971",335,4,4,NA,NA,3,NA,NA,NA,5,4,4,2,2015-10-16,0.935753230303201,0,2,2,NA,0,"Malopolskie",0,2,"cntrl",NA,22,0,0,NA,0,0,1,0,0,"other","none","50/50",2,2.14285714285714,4.85714285714286
"6972",339,2,2,2,4,5,4,3,2,3,3,3,4,2015-10-15,0.544636574836652,1,2,1,3,0,"Kujawsko-pomorskie",1,1,"cntrl",5,66,0,0,-3,0,1,0,0,0,"NoVote","some","some",0,3.83333333333333,3.16666666666667
"6973",340,3,3,2,3,3,3,3,4,4,3,3,2,2015-10-15,1.10175034184803,0,1,1,4,1,"Kujawsko-pomorskie",0,1,"Hungary",4,18,0,0,3,1,0,1,0,0,"DK","some","50/50",1,2.55555555555556,4.44444444444444
